from_stop_id,to_stop_id,transfer_type,min_transfer_time
1683,3926395,2,196
1683,4726931,2,220
1683,6591451,2,196
1683,6591452,2,220
1684,3749702,2,207
1684,3749734,2,230
1684,4022965,2,207
1684,4023030,2,230
1684,4473179,2,230
1684,4473193,2,207
1684,5018179,2,230
1684,5018184,2,244
1684,7305095,2,230
1685,4036790,2,207
1685,4036791,2,182
1685,7013390,2,212
1686,3749686,2,245
1686,3749687,2,262
1686,4016339,2,288
1686,5138029,2,255
1686,5138164,2,255
1686,5138165,2,288
1686,5657269,2,262
1686,5657270,2,245
1687,1637,2,110
1687,2517,2,96
1687,3740321,2,234
1687,3740322,2,216
1687,3740323,2,214
1687,4008855,2,194
1687,4008856,2,216
1689,3685706,2,230
1689,3685707,2,208
1689,3685760,2,230
1689,3685761,2,208
1689,3685815,2,230
1689,3685816,2,208
1689,3685896,2,258
1689,3685897,2,223
1689,3690363,2,297
1689,3690364,2,324
1689,3690365,2,193
1689,3690366,2,214
1689,3690368,2,296
1689,3690417,2,297
1689,3690418,2,324
1689,3690419,2,193
1689,3690420,2,214
1689,3690422,2,296
1689,3690442,2,296
1689,3690443,2,214
1689,3690444,2,324
1689,3690470,2,296
1689,3690471,2,214
1689,3690472,2,324
1690,3812932,2,279
1690,3812961,2,215
1690,3813059,2,215
1690,4726730,2,215
1691,3749883,2,185
1691,4037033,2,185
1691,4473021,2,185
1691,7275658,2,185
1692,3764968,2,188
1692,5138045,2,230
1692,5138188,2,230
1692,5138189,2,256
1692,7176235,2,186
1692,7176237,2,186
1692,7176238,2,186
1692,7176241,2,188
1693,5747138,2,251
1695,4036815,2,195
1695,4036816,2,195
1695,4284929,2,201
1695,4284930,2,216
1695,4378048,2,202
1695,4378049,2,221
1695,4378069,2,189
1695,4439499,2,202
1695,4458791,2,222
1695,4458792,2,203
1695,5161546,2,213
1695,5161547,2,199
1695,6143542,2,195
1695,6143543,2,315
1695,6143586,2,222
1695,6143608,2,222
1696,4036817,2,254
1696,4378066,2,261
1696,4458789,2,259
1696,4458795,2,261
1697,5747132,2,230
1697,5747133,2,230
1703,4035804,2,234
1703,4035805,2,216
1704,5922167,2,256
1704,5922218,2,255
1705,3909822,2,251
1705,3909823,2,251
1705,3909828,2,251
1705,3909833,2,251
1705,4834560,2,223
1705,4834561,2,211
1705,4834624,2,223
1705,4834625,2,211
1705,5121831,2,259
1705,5121832,2,271
1705,5121833,2,250
1705,5121971,2,222
1705,5122012,2,296
1705,5122052,2,296
1705,5122073,2,222
1705,5161445,2,192
1705,5161446,2,192
1705,5221776,2,296
1705,5221791,2,222
1705,5976748,2,259
1705,5976749,2,262
1705,5976750,2,283
1706,2224153,2,306
1706,2224154,2,306
1706,3672160,2,316
1706,3672161,2,316
1706,3672225,2,316
1706,3672226,2,316
1706,3672261,2,316
1706,3672286,2,316
1706,3678809,2,311
1706,3678810,2,288
1706,4146088,2,316
1706,4146117,2,316
1710,3687099,2,198
1710,3687100,2,250
1710,3893418,2,241
1710,3893419,2,254
1710,5138040,2,191
1710,5138179,2,191
1710,5138180,2,250
1713,4024592,2,246
1713,4024593,2,228
1713,4024599,2,228
1713,4024951,2,256
1713,4024952,2,189
1713,4024953,2,215
1713,4024970,2,215
1713,4035029,2,220
1713,4035030,2,233
1713,4473164,2,220
1713,4473165,2,233
1715,4473188,2,243
1717,4009067,2,197
1717,4009073,2,213
1718,3673608,2,198
1718,3673609,2,254
1718,3687454,2,244
1718,3687455,2,254
1720,3764498,2,212
1720,4016280,2,219
1720,4016281,2,212
1721,3687422,2,285
1721,3748041,2,230
1721,3748042,2,230
1721,3813064,2,285
1721,3926197,2,234
1721,3926198,2,260
1721,4036993,2,260
1721,4037038,2,285
1721,4045013,2,234
1721,6591465,2,260
1721,6591517,2,285
1722,1166840,2,180
1722,1166841,2,180
1722,1715,2,480
1722,1723,2,207
1722,1724,2,108
1722,2460,2,480
1722,2468,2,220
1722,2469,2,108
1722,3716873,2,215
1722,3716945,2,215
1722,3740515,2,108
1722,3740516,2,254
1722,3740517,2,252
1722,3740559,2,225
1722,3747809,2,195
