stop_lon,stop_name,stop_lat,stop_id,location_type,parent_station
-0.2078076,Prempeh,5.5923472,SA5039895710,1,
-0.2091355,Bakery,5.5880695,SA5039895713,1,
-0.2320343,Achimota Market,5.6194352,SA5079240135,1,
-0.2324604,Kingsby Taxi rank,5.6197884,SA5079240134,1,
-0.2362465,Living God Junction,5.6159897,SA5079240137,1,
-0.2337256,Cemetry Junction,5.617391,SA5079240136,1,
-0.2541305,Fadama Junction,5.5975737,SA5023802913,1,
-0.2259058,Achimota New Station,5.621493,SA4981090360,1,
-0.2191415,Achimota Hospital,5.6275004,SA4981090361,1,
-0.1789634,Legon station,5.6501681,SA4981090362,1,
-0.193736,Ayido,5.6407052,SA4981090363,1,
-0.1979135,Legon Barrier,5.6415839,SA4981090364,1,
-0.214652,Christian Village,5.6353879,SA4981090365,1,
-0.2192451,Achimota Club House,5.6220881,SA4981090366,1,
-0.2088308,Forestry Commission,5.6390987,SA4981090367,1,
-0.2076699,Jehova junction,5.5903019,5040089798,0,SA5040089798
-0.2981178,VRA Junction,5.6306909,SA5051364319,1,
-0.201669,ECOMOG,5.6809886,SA5113124889,1,
-0.1942666,Pawpaw,5.6857636,SA5113124888,1,
-0.1943868,God's way,5.6869613,SA5113124887,1,
-0.1950609,Cold Store,5.6888816,SA5113124886,1,
-0.1959912,School Junction,5.6897516,SA5113124885,1,
-0.1975027,Fitting Shop,5.690993,SA5113124884,1,
-0.1986753,Agbogba,5.6919051,SA5113124883,1,
-0.2981816,Blue Kiosk,5.6279941,SA5051364317,1,
-0.2026156,Assemblies,5.6960549,SA5113124881,1,
-0.298139,First Yellow,5.624852,SA5051364315,1,
-0.3095967,Mallam Gbawe,5.5768227,5058534303,0,SA5013209306
-0.082388,C5,5.5978058,5054694236,0,SA5054694236
-0.0932051,A-life,5.5912116,5054694237,0,SA5054694237
-0.2143098,Circle (Alajo Station),5.5711306,5058534307,0,SA5037296278
-0.0802873,Bank,5.6001575,5054694235,0,SA5054694235
-0.217095,Alajo T-Junction,5.5985442,5058534309,0,SA5037296284
-0.2256592,Tesano,5.6041936,2961496543,0,SA2917271600
-0.1040033,Mobil,5.583572,5054694238,0,SA5054694238
-0.1078741,Addoemi,5.5801717,5054694239,0,SA5054694239
-0.2119835,Market,5.5607112,SA5120539774,1,
-0.1942808,Power House,5.5997701,SA5030747558,1,
-0.1933949,Frensho,5.6018069,SA5030747559,1,
-0.2344711,Happy Days,5.5560724,5102649416,0,SA5031022750
-0.246561,Flamingo,5.5581757,5102649417,0,SA4996742719
-0.2438919,Junction Appiah Danquah,5.5467066,5102983310,0,SA5102983310
-0.2459356,Taxi Rank,5.5467323,5102983311,0,SA5102949429
-0.2465004,Appiah Danquah,5.5466693,5102983312,0,SA5102949428
-0.1206062,Lekma Hospital,5.6022196,SA5028483800,1,
-0.2513874,Sukura Market,5.5522781,5102649418,0,SA5095971779
-0.2545317,Loso,5.5511416,5102649419,0,SA5095971778
-0.1949648,Konka,5.5966298,SA5030747556,1,
-0.2469156,Abeka Lapaz Last Stop,5.6060986,SA5027390605,1,
-0.2654701,Ofankor Barrier,5.6576644,5008338674,0,SA5008338674
-0.25222,Sukura (Kwahu Store),5.5521816,SA5124553578,1,
-0.19469,Ministries,5.5485659,5029234107,0,SA5024136422
-0.2661016,Rasta Junction,5.6112754,4983237019,0,SA4983237019
-0.2885816,Festus,5.6931058,SA5008589261,1,
-0.1126033,Kofi Annan,5.5738488,SA5012075055,1,
-0.2901329,Curve,5.6470345,5021004839,0,SA5021004839
-0.2902254,Pentecost Station,5.6461724,5021004838,0,SA5021004838
-0.2549389,Banana Inn,5.5413867,5087182230,0,SA5022509210
-0.1250826,Adjiringanor Last stop,5.6770518,SA5064974029,1,
-0.1808284,Tullow,5.6217735,SA5111502568,1,
-0.2630711,School Junction Race Course,5.6081953,5050667455,0,SA4983237016
-0.2033473,Abase,5.6165985,SA5111502567,1,
-0.2349084,Kaneshie Market junction,5.5682894,5051914054,0,SA5051914054
-0.2303866,Accra Wesley Girls School Junction,5.5671144,5051914055,0,SA5051914055
-0.2908475,Abe Asi,5.645239,5021004837,0,SA5021004837
-0.2926079,Royco,5.643878,5021004836,0,SA5021004836
-0.2935134,Asofan New Station,5.6434835,5021004835,0,SA5021004835
-0.1745985,Junction,5.5788369,5029234103,0,SA5029234103
-0.192666,GBC,5.5735046,SA4286153107,1,
-0.0062296,Community 7,5.6647008,SA3676894849,1,
-0.2676223,Gyedu Junction,5.6123869,5050667457,0,SA4983237020
-0.2016021,Accra High,5.5600736,5030249498,0,SA5030249498
-0.1814955,Kelewele,5.5536435,5033271031,0,SA5033271031
-0.1675933,Veterinary,5.5572004,SA5028483808,1,
-0.1707852,Cantonments,5.577606,5029234101,0,SA5029234101
-0.2071487,School Junction,5.5915982,5039895711,0,SA5039895711
-0.2889648,Transformer,5.6470684,SA5021004840,1,
-0.4128164,Amanfrom,5.5356917,5010113606,0,SA5008726858
-0.4189544,Second,5.5355393,5010113605,0,SA5010113605
-0.2115164,Pro credit,5.5783909,5054509009,0,SA5054509009
-0.2861017,Asofan Old Station,5.6539895,SA5021004844,1,
-0.4013765,Galelia Market,5.5382376,5010113602,0,SA5008726866
-0.2836293,Presby,5.6549402,SA5021004846,1,
-0.2817263,Abodwe Se,5.6565743,SA5021004847,1,
-0.2795708,Soldier Line,5.6574519,SA5021004848,1,
-0.2780861,2nd Power,5.6578639,SA5021004849,1,
-0.2447442,Methodist,5.5344039,4998045790,0,SA4997810037
-0.3387368,SCC,5.5475403,5010113609,0,SA5008726852
-0.3897805,Chinese,5.5434112,5010113608,0,SA5010113608
-0.2492943,Sukura,5.5506217,SA5024234901,1,
-0.1490217,Alonte Bar,5.5596641,SA5054694248,1,
-0.2475504,Banku Junction,5.5537769,SA5024234903,1,
-0.2476184,Borla Junction,5.5509311,SA5024234902,1,
-0.2432794,Junction,5.5561071,SA5024234905,1,
-0.2468583,La bay,5.5556787,SA5024234904,1,
-0.2370074,Market,5.5528102,SA5024234906,1,
-0.1177646,Next Door,5.570559,SA5054694241,1,
-0.1259056,Curve,5.5967663,5028483803,0,SA5028483803
-0.1276876,First Gate,5.5675279,SA5054694243,1,
-0.2226925,Fan Milk Junction,5.5727399,5014786532,0,SA5014716655
-0.140608,Labadi Beach,5.5639367,SA5054694245,1,
