trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
159,06:18:23,06:18:23,5064991459,13,,,,,
159,06:19:08,06:19:08,5088569161,14,,,,,
159,06:20:36,06:20:36,5047108307,15,,,,,
159,06:24:06,06:24:06,5047108306,16,,,,,
159,06:25:22,06:25:22,4382426259,17,,,,,
159,06:29:00,06:29:00,4150793105,18,,,,,
159,06:31:03,06:31:03,4974194650,19,,,,,
159,06:34:47,06:34:47,4997374747,20,,,,,
159,06:36:37,06:36:37,4977927743,21,,,,,
159,06:39:32,06:39:32,4974193122,22,,,,,
159,06:40:50,06:40:50,4997374746,23,,,,,
159,06:42:46,06:42:46,4997374745,24,,,,,
159,06:44:39,06:44:39,4974193123,25,,,,,
159,06:47:15,06:47:15,4997374744,26,,,,,
159,06:50:20,06:50:20,4997374743,27,,,,,
159,06:53:18,06:53:18,4974193124,28,,,,,
159,06:56:30,06:56:30,5088569160,29,,,,,
159,06:58:37,06:58:37,4974193125,30,,,,,
159,07:00:02,07:00:02,5025776032,31,,,,,
159,07:00:50,07:00:50,5088569159,32,,,,,
159,07:02:43,07:02:43,5025776031,33,,,,,
159,07:04:07,07:04:07,5030249495,34,,,,,
159,07:06:00,07:06:00,5058534290,35,,,,,
158,06:00:00,06:00:00,5005030180,1,,,,,
158,06:00:55,06:00:55,5035775005,2,,,,,
158,06:12:58,06:12:58,4974195501,3,,,,,
158,06:14:27,06:14:27,4984742321,4,,,,,
158,06:20:30,06:20:30,4974195502,5,,,,,
158,06:22:36,06:22:36,4977880923,6,,,,,
158,06:24:44,06:24:44,4977897982,7,,,,,
158,06:26:50,06:26:50,4977886631,8,,,,,
158,06:29:37,06:29:37,30729987,9,,,,,
158,06:31:14,06:31:14,4984741723,10,,,,,
158,06:34:43,06:34:43,4977925525,11,,,,,
158,06:36:14,06:36:14,4150793106,12,,,,,
158,06:39:34,06:39:34,5064974047,13,,,,,
158,06:40:41,06:40:41,5047154065,14,,,,,
158,06:42:48,06:42:48,5047154064,15,,,,,
158,06:44:28,06:44:28,5064974046,16,,,,,
158,06:44:47,06:44:47,5047154056,17,,,,,
158,06:46:22,06:46:22,5047154063,18,,,,,
158,06:47:21,06:47:21,5047154062,19,,,,,
158,06:48:12,06:48:12,5047154061,20,,,,,
158,06:49:19,06:49:19,3133741256,21,,,,,
158,06:51:01,06:51:01,5020282545,22,,,,,
158,06:56:50,06:56:50,5020282544,23,,,,,
158,06:57:56,06:57:56,5064974044,24,,,,,
158,06:59:52,06:59:52,5064974043,25,,,,,
158,07:02:22,07:02:22,5064974042,26,,,,,
158,07:03:23,07:03:23,5064974041,27,,,,,
158,07:04:40,07:04:40,5020282543,28,,,,,
158,07:06:00,07:06:00,5064974040,29,,,,,
399,06:00:00,06:00:00,5027354802,1,,,,,
399,06:03:13,06:03:13,4972894711,2,,,,,
399,06:04:51,06:04:51,4739884021,3,,,,,
399,06:05:53,06:05:53,4739843023,4,,,,,
399,06:08:01,06:08:01,4752773021,5,,,,,
399,06:09:25,06:09:25,5008691263,6,,,,,
399,06:10:37,06:10:37,5008691262,7,,,,,
399,06:13:06,06:13:06,5027354801,8,,,,,
399,06:14:44,06:14:44,5008691261,9,,,,,
399,06:15:49,06:15:49,5010113610,10,,,,,
399,06:16:31,06:16:31,5010113609,11,,,,,
399,06:17:12,06:17:12,5008691260,12,,,,,
399,06:18:26,06:18:26,4600181749,13,,,,,
399,06:19:38,06:19:38,5010113604,14,,,,,
399,06:20:01,06:20:01,5008691259,15,,,,,
399,06:20:43,06:20:43,5008691258,16,,,,,
399,06:25:28,06:25:28,5010113603,17,,,,,
399,06:27:02,06:27:02,5010113608,18,,,,,
399,06:28:06,06:28:06,5010113607,19,,,,,
399,06:29:01,06:29:01,5008691257,20,,,,,
399,06:29:32,06:29:32,5010113602,21,,,,,
399,06:30:32,06:30:32,5008691256,22,,,,,
399,06:31:28,06:31:28,5008691255,23,,,,,
399,06:31:50,06:31:50,5010113606,24,,,,,
399,06:32:32,06:32:32,5008691254,25,,,,,
399,06:33:02,06:33:02,5010113605,26,,,,,
399,06:34:00,06:34:00,5008691252,27,,,,,
398,06:00:00,06:00:00,5008726867,1,,,,,
398,06:02:20,06:02:20,5008726858,2,,,,,
398,06:03:29,06:03:29,5008726855,3,,,,,
398,06:04:44,06:04:44,5008726866,4,,,,,
398,06:05:10,06:05:10,5008726854,5,,,,,
398,06:08:45,06:08:45,4740602044,6,,,,,
398,06:13:28,06:13:28,5008726865,7,,,,,
398,06:14:01,06:14:01,4740601928,8,,,,,
398,06:14:37,06:14:37,5008726864,9,,,,,
398,06:15:41,06:15:41,4740601929,10,,,,,
398,06:16:58,06:16:58,5010154464,11,,,,,
398,06:17:37,06:17:37,5008726852,12,,,,,
398,06:19:36,06:19:36,4740682127,13,,,,,
398,06:20:58,06:20:58,5008726863,14,,,,,
398,06:23:39,06:23:39,5008726862,15,,,,,
398,06:28:30,06:28:30,5008726861,16,,,,,
398,06:29:02,06:29:02,4740682125,17,,,,,
398,06:31:46,06:31:46,5027365778,18,,,,,
398,06:33:07,06:33:07,5027365777,19,,,,,
398,06:33:33,06:33:33,5000176412,20,,,,,
398,06:33:44,06:33:44,4740602036,21,,,,,
398,06:34:00,06:34:00,5027354802,22,,,,,
48,06:00:00,06:00:00,5047423634,1,,,,,
48,06:03:34,06:03:34,5025972754,2,,,,,
48,06:11:49,06:11:49,5083057446,3,,,,,
48,06:25:59,06:25:59,5029234107,4,,,,,
48,06:38:05,06:38:05,5023989072,5,,,,,
48,06:45:26,06:45:26,5029234106,6,,,,,
48,06:49:49,06:49:49,5029234105,7,,,,,
48,06:58:51,06:58:51,4995095768,8,,,,,
48,07:02:36,07:02:36,5083057445,9,,,,,
48,07:06:12,07:06:12,4995095767,10,,,,,
48,07:12:34,07:12:34,4995054808,11,,,,,
48,07:18:01,07:18:01,4995095765,12,,,,,
48,07:23:31,07:23:31,4995095764,13,,,,,
48,07:27:41,07:27:41,4995095763,14,,,,,
48,07:35:02,07:35:02,4995095762,15,,,,,
48,07:50:17,07:50:17,5029234103,16,,,,,
48,07:57:13,07:57:13,5029234102,17,,,,,
48,08:00:00,08:00:00,5029234101,18,,,,,
49,06:00:00,06:00:00,5029234101,1,,,,,
49,06:17:15,06:17:15,4995054814,2,,,,,
49,06:21:17,06:21:17,4995054813,3,,,,,
49,06:28:36,06:28:36,4995054812,4,,,,,
49,06:35:12,06:35:12,4995054811,5,,,,,
49,06:38:45,06:38:45,4995054810,6,,,,,
49,06:41:31,06:41:31,4995054809,7,,,,,
49,06:46:00,06:46:00,5026060290,8,,,,,
49,06:49:29,06:49:29,5026060289,9,,,,,
49,06:52:42,06:52:42,4995054807,10,,,,,
49,06:55:24,06:55:24,5026060288,11,,,,,
49,06:59:00,06:59:00,4995054806,12,,,,,
49,07:02:40,07:02:40,4995054805,13,,,,,
49,07:04:11,07:04:11,5083117565,14,,,,,
49,07:08:42,07:08:42,5029276337,15,,,,,
49,07:13:18,07:13:18,5024136424,16,,,,,
49,07:21:49,07:21:49,5024136423,17,,,,,
49,07:32:25,07:32:25,5024136422,18,,,,,
49,07:40:56,07:40:56,5024136421,19,,,,,
49,07:45:49,07:45:49,5023043423,20,,,,,
49,07:57:28,07:57:28,5023043422,21,,,,,
49,08:00:00,08:00:00,5047423634,22,,,,,
46,06:00:00,06:00:00,5058534290,1,,,,,
46,06:00:12,06:00:12,5023043423,2,,,,,
46,06:03:51,06:03:51,5023043422,3,,,,,
46,06:06:58,06:06:58,5023043421,4,,,,,
46,06:07:45,06:07:45,5052100023,5,,,,,
46,06:13:55,06:13:55,5023043119,6,,,,,
46,06:17:15,06:17:15,5013078302,7,,,,,
46,06:19:44,06:19:44,4979396673,8,,,,,
46,06:21:01,06:21:01,5022942960,9,,,,,
46,06:21:52,06:21:52,5025315900,10,,,,,
46,06:23:41,06:23:41,5022942959,11,,,,,
46,06:25:22,06:25:22,5022942958,12,,,,,
46,06:26:55,06:26:55,5022942957,13,,,,,
46,06:28:11,06:28:11,5083164018,14,,,,,
46,06:28:56,06:28:56,5022942956,15,,,,,
46,06:30:57,06:30:57,5022942955,16,,,,,
46,06:32:35,06:32:35,5022942954,17,,,,,
46,06:35:02,06:35:02,5022942953,18,,,,,
46,06:37:36,06:37:36,5022942952,19,,,,,
46,06:40:00,06:40:00,5022942951,20,,,,,
47,06:00:00,06:00:00,5022509210,1,,,,,
47,06:01:06,06:01:06,5022509209,2,,,,,
47,06:02:20,06:02:20,5023072587,3,,,,,
47,06:03:30,06:03:30,5022509208,4,,,,,
47,06:04:25,06:04:25,5023072586,5,,,,,
47,06:06:18,06:06:18,5022509207,6,,,,,
47,06:07:38,06:07:38,5022509206,7,,,,,
47,06:08:28,06:08:28,5023072585,8,,,,,
47,06:09:41,06:09:41,5023072584,9,,,,,
47,06:11:15,06:11:15,5022509205,10,,,,,
47,06:11:43,06:11:43,5023072583,11,,,,,
47,06:13:11,06:13:11,5026822852,12,,,,,
47,06:13:33,06:13:33,5022509204,13,,,,,
47,06:15:06,06:15:06,5023072582,14,,,,,
47,06:15:36,06:15:36,5022509203,15,,,,,
47,06:16:54,06:16:54,4979349924,16,,,,,
47,06:18:47,06:18:47,5022509202,17,,,,,
47,06:23:15,06:23:15,5047423636,18,,,,,
47,06:25:20,06:25:20,5023072581,19,,,,,
47,06:27:17,06:27:17,5024303420,20,,,,,
47,06:28:15,06:28:15,5024303419,21,,,,,
47,06:31:58,06:31:58,5023072580,22,,,,,
47,06:32:33,06:32:33,5025972754,23,,,,,
47,06:35:00,06:35:00,5005030180,24,,,,,
44,06:00:00,06:00:00,5025202269,1,,,,,
44,06:07:02,06:07:02,5023043119,2,,,,,
44,06:10:43,06:10:43,5013078302,3,,,,,
44,06:13:29,06:13:29,4979396673,4,,,,,
44,06:14:55,06:14:55,5022942960,5,,,,,
44,06:15:51,06:15:51,5025315900,6,,,,,
44,06:17:53,06:17:53,5022942959,7,,,,,
44,06:19:45,06:19:45,5022942958,8,,,,,
44,06:21:28,06:21:28,5022942957,9,,,,,
44,06:23:42,06:23:42,5022942956,10,,,,,
44,06:25:57,06:25:57,5022942955,11,,,,,
44,06:27:45,06:27:45,5022942954,12,,,,,
44,06:30:29,06:30:29,5022942953,13,,,,,
44,06:33:19,06:33:19,5022942952,14,,,,,
44,06:36:00,06:36:00,5022942951,15,,,,,
45,06:00:00,06:00:00,5022509210,1,,,,,
45,06:00:31,06:00:31,5022509209,2,,,,,
45,06:01:07,06:01:07,5023072587,3,,,,,
45,06:01:40,06:01:40,5022509208,4,,,,,
45,06:02:06,06:02:06,5023072586,5,,,,,
45,06:03:00,06:03:00,5022509207,6,,,,,
45,06:03:38,06:03:38,5022509206,7,,,,,
45,06:04:02,06:04:02,5023072585,8,,,,,
45,06:04:37,06:04:37,5023072584,9,,,,,
45,06:05:22,06:05:22,5022509205,10,,,,,
45,06:05:35,06:05:35,5023072583,11,,,,,
45,06:06:17,06:06:17,5026822852,12,,,,,
45,06:06:27,06:06:27,5022509204,13,,,,,
45,06:07:12,06:07:12,5023072582,14,,,,,
45,06:08:03,06:08:03,4979349924,15,,,,,
45,06:08:57,06:08:57,5022509202,16,,,,,
45,06:09:31,06:09:31,5025315256,17,,,,,
45,06:10:11,06:10:11,5025315221,18,,,,,
45,06:10:23,06:10:23,5022509201,19,,,,,
45,06:10:55,06:10:55,5025315255,20,,,,,
45,06:11:25,06:11:25,5025202270,21,,,,,
45,06:12:28,06:12:28,5024303419,22,,,,,
