route_id,trip_id,service_id,shape_id,direction_id,trip_headsign
7471283,86,0,7471262,0,Osu RE
7471283,87,0,7471278,1,Circle
7468339,84,0,7468317,0,Osu Presby
7468339,85,0,7468337,1,Circle
7474831,7,0,7474823,1,Achimota
7480337,245,0,7480327,1,Circle Lido
7480337,244,0,7480336,0,Kotobabi Down
7406210,247,0,7406209,1,Abeka Lapaz
7406210,246,0,7407644,0,37
7486143,241,0,7486056,1,37
7486143,240,0,7486142,0,Kotobabi Down
7480290,243,0,7480173,1,Accra CMB
7480290,242,0,7480239,0,Kotobabi Down
7485974,249,0,7485569,1,Abeka Lapaz
7485974,248,0,7485960,0,Kotobabi Down
7437100,519,0,7437093,1,Abeka Lapaz
7437100,518,0,7437084,0,Tema Community One Market
7452660,511,0,7452530,1,Accra End of the Motorway
7452660,510,0,7452373,0,Adjringanor/Otanor
7466042,513,0,7466032,1,Accra End of the Motorway
7466042,512,0,7465985,0,American House
7425412,515,0,7425333,1,Accra New Town
7425412,514,0,7425316,0,Caprice
7420442,517,0,7420410,1,Achimota
7420442,516,0,7420174,0,37
7599683,458,0,7599432,0,Sukura
7599683,459,0,7599545,1,Nima-Mamobi
7571332,450,0,7571322,0,Shiabu
7571332,451,0,7571303,1,Agbogbloshie
7598208,452,0,7598207,0,Soko
7598208,453,0,7598198,1,Accra Post Office
7459022,454,0,7458997,0,Soko
7459022,455,0,7458953,1,Accra Post Office
7458729,456,0,7458710,0,Sukura
7458729,457,0,7458410,1,Arena
7485664,179,0,7485479,1,Chorkor
7485664,178,0,7485604,0,Kaneshie
7488333,177,0,7488258,1,Camara
7488333,176,0,7488287,0,Kaneshie
7488448,175,0,7488437,1,Bubuashie
7488448,174,0,7488446,0,Kaneshie
7488566,173,0,7488505,1,Appiah Danquah/ Soko
7488566,172,0,7488563,0,Kaneshie
7516618,171,0,7516584,1,Kaneshie
7516618,170,0,7488596,0,Afropa
7485398,253,0,7485362,1,Achimota
7488146,182,0,7488101,0,Korlebu
7488146,183,0,7488142,1,Kaneshie
7488223,180,0,7488222,0,Good Shepherd
7488223,181,0,7516796,1,Kaneshie
7423322,186,0,7423029,0,Madina-Adenta
7423322,187,0,7423269,1,Kaneshie
7488069,184,0,7487993,0,Maamobi
7488069,185,0,7488056,1,Kaneshie
7423582,188,0,7423503,0,Mamponse
7423582,189,0,7423570,1,Kaneshie
7541948,11,0,7541947,1,Achimota
7541948,10,0,7541922,0,Medie/Kotoku
7467672,13,0,7467671,1,Achimota
7467672,12,0,7467662,0,Ofankor
7415878,15,0,7415862,1,Abeka Lapaz
7415878,14,0,7415754,0,Circle Accra
7475350,17,0,7475327,1,Achimota
7475350,16,0,7475274,0,Ashaiman Main Station
7478164,19,0,7478156,1,Achimota
7478164,18,0,7477825,0,Taifa
7548114,62,0,7548092,0,Chorkor
7584959,322,0,7584876,0,Ashaiman Main Station
7584959,323,0,7584952,1,Accra New Tema Station
7481388,320,0,7481244,0,Haatso
7481388,321,0,7481384,1,Abeka Lapaz
7587970,326,0,7587968,0,New Town
7587970,327,0,7587870,1,Adenta
7481117,324,0,7481099,0,Accra New Town
7481117,325,0,7481021,1,37
7588610,328,0,7588311,0,Kasoa
7588610,329,0,7588606,1,Accra New Town
7459791,201,0,7459789,1,Kaneshie Foot Bridge
7459791,200,0,7459268,0,Makola Tudu
7459986,203,0,7459943,1,Agyapa Ye North Kaneshie
7459986,202,0,7459984,0,Kaneshie Market Station
7460324,205,0,7460301,1,Kaneshie Market Station
7460324,204,0,7460211,0,New Fadama
7460562,207,0,7460557,1,Kaneshie Market Station
7460562,206,0,7460472,0,North Industrial Area
7460717,209,0,7460658,1,Kaneshie
7460717,208,0,7460627,0,Swanlake
7420855,77,0,7420795,1,Abeka Lapaz
7420855,76,0,7420681,0,Accra UTC
7421019,75,0,7421011,1,37 Lorry Park
7421019,74,0,7420887,0,Osu (37 Station)
7479635,73,0,7479571,1,Circle
7479635,72,0,7479429,0,Kotobabi Down Polo Park
7479359,71,0,7479355,1,Circle
7479359,70,0,7479340,0,Immesco Rice
7467946,79,0,7467945,1,Circle
7467946,78,0,7467942,0,New Melcom
7473825,2,0,7473673,0,Legon Station
7455439,542,0,7454990,0,SSNIT Flats
7455439,543,0,7455309,1,Circle Odorna
7463356,540,0,7463167,0,Legon
