route_type,route_id,route_short_name,route_long_name,agency_id,route_desc,route_color,route_text_color
3,7495800,177,Circle ↔ Bubiashie-Atico,AMA,,1779c2,ffffff
3,7425145,998,Circle Overhead ↔ Ashaiaman,AMA,,1779c2,ffffff
3,7426683,264,Hansonic ↔ Dansoman Last Stop,AMA,,1779c2,ffffff
3,7475836,157,Circle ↔ Alajo,AMA,,1779c2,ffffff
3,7573629,463,Mamprobi ↔ Accra Post Office,AMA,,1779c2,ffffff
3,7598208,485,Soko ↔ Accra Post Office,AMA,,1779c2,ffffff
3,7575488,442,Okponglo ↔ Bawaleshie,AMA,,1779c2,ffffff
3,7406210,31,37 ↔ Abeka Lapaz,AMA,,1779c2,ffffff
3,7541891,104,Mayera/Adusa ↔ Achimota,AMA,,1779c2,ffffff
3,7589313,394,Nima ↔ Ashaiman,AMA,,1779c2,ffffff
3,7478410,174,Circle ↔ Bubiashie Ayigbe Town,AMA,,1779c2,ffffff
3,7466637,415,Nyaho ↔ Nima Station,AMA,,1779c2,ffffff
3,7547534,166,Russia ↔ Arena,AMA,,1779c2,ffffff
3,7474831,103,Mallam Attah ↔ Achimota,AMA,,1779c2,ffffff
3,7587970,386,New Town ↔ Adenta,AMA,,1779c2,ffffff
3,7488146,273,Korlebu ↔ Kaneshie,AMA,,1779c2,ffffff
3,7589525,399,Nima Overhead Maamobi ↔ Achimota Terminal,AMA,,1779c2,ffffff
3,7475350,112,Ashaiman Main Station ↔ Achimota,AMA,,1779c2,ffffff
3,7467672,107,Ofankor ↔ Achimota,AMA,,1779c2,ffffff
3,7552156,236,Dansoman ↔ Arena,AMA,,1779c2,ffffff
3,7488672,265,Sukura ↔ Kaneshie,AMA,,1779c2,ffffff
3,7473825,100,Legon Station ↔ Achimota,AMA,,1779c2,ffffff
3,7423611,277,Mamprobi Alhaji ↔ Kaneshie,AMA,,1779c2,ffffff
3,7452837,214,Circle ↔ WAEC,AMA,,1779c2,ffffff
3,7451505,58,Six to Six Market ↔ Abeka Lapaz,AMA,,1779c2,ffffff
3,7456425,39,Antie-Eku Pallas Town ↔ Abeka Lapaz,AMA,,1779c2,ffffff
3,7481516,378,Awoshie ↔ Abeka Lapaz,AMA,,1779c2,ffffff
3,7406253,282,Shalom ↔ Kaneshie,AMA,,1779c2,ffffff
3,7481117,385,Accra New Town ↔ 37,AMA,,1779c2,ffffff
3,7472304,398,Nima Mamobi ↔ Ashiaman,AMA,,1779c2,ffffff
3,7473841,212,Circle ↔ Accra New Tema Station,AMA,,1779c2,ffffff
3,7471283,205,Osu RE ↔ Circle,AMA,,1779c2,ffffff
