route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1419804,100,"9","(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Retour",,1,,FFFFFF,000000
1439291,100,"179","((PONT DE SEVRES - ROBINSON RER) <-> ROBINSON RER.) - Aller",,3,,FFFFFF,000000
1439292,100,"179","(PONT DE SEVRES <-> (PONT DE SEVRES - ROBINSON RER)) - Retour",,3,,FFFFFF,000000
1460221,100,"299","(CIMETIERE DE CHILLY-MAZARIN <-> (PORTE D'ORLEANS)) - Retour",,3,,FFFFFF,000000
1463791,100,"T6","(CHATILLON - MONTROUGE <-> VIROFLAY - RIVE DROITE) - Aller",,0,,FFFFFF,000000
1463792,100,"T6","(CHATILLON - MONTROUGE <-> VIROFLAY - RIVE DROITE) - Retour",,0,,FFFFFF,000000
1468999,100,"24","(GARE SAINT LAZARE <-> ECOLE VETERINAIRE DE MAISONS-ALFORT) - Aller",,3,,FFFFFF,000000
1469000,100,"24","(GARE SAINT-LAZARE) - Retour",,3,,FFFFFF,000000
1469227,100,"241","(PLACE DE LA PAIX <-> RUEIL-MALMAISON RER) - Retour",,3,,FFFFFF,000000
1469302,100,"133","((SARCELLES-BOIS D'ECOUEN - LE BOUR) <-> LE BOURGET-RER) - Aller",,3,,FFFFFF,000000
1469507,100,"197","(BACONNETS - MIRABEAU <-> DESCARTES) - Aller",,3,,FFFFFF,000000
1469508,100,"197","(SAUSSAYE - MIRABEAU <-> DESCARTES) - Retour",,3,,FFFFFF,000000
1477360,100,"47","(PLACE D'ITALIE <-> FORT DU KREMLIN-BICETRE) - Retour",,3,,FFFFFF,000000
1495356,100,"6","(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller",,1,,FFFFFF,000000
1495357,100,"6","(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour",,1,,FFFFFF,000000
1495917,100,"92","(GARE MONTPARNASSE <-> (MONTP-PORTE DE CHAMPERRET)) - Retour",,3,,FFFFFF,000000
1500809,100,"180","(CHARENTON-ECOLES <-> (CHARENTON-ECOLES - VILLEJUIF)) - Retour",,3,,FFFFFF,000000
